RowNumber,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,-0.32620511055784646,France,Female,0.29350274665868764,0.2,-1.2257863774930597,1,1,1,0.5067348931822989,1
2,-0.44001395250984926,Spain,Female,0.19815392375611882,0.1,0.11734415378734976,1,0,1,0.5627087386845444,0
3,-1.5367173385927853,France,Female,0.29350274665868764,0.8,1.3329866913892048,3,1,0,0.5696543519906151,1
4,0.501495558183992,France,Female,0.007456277950981121,0.1,-1.2257863774930597,2,0,0,0.4691200509648672,0
5,2.0637805704342123,Spain,Female,0.3888515695612565,0.2,0.7856886124188632,1,1,1,0.3954003607344502,0
6,-0.05720239321674894,Spain,Male,0.48420039246382535,0.8,0.597298727264625,2,1,0,0.7487971601287922,1
7,1.7740853363745688,France,Male,1.0562933298792385,0.7,-1.2257863774930597,2,1,1,0.05026089991594197,0
8,-2.840345891861181,Germany,Female,-0.9460319510747073,0.4,0.6179880491332631,4,1,0,0.5967334880481087,1
9,-1.5470635969520583,France,Male,0.48420039246382535,0.4,1.0507677442569843,2,0,1,0.37468038197647874,0
10,0.3463016827948973,France,Male,-1.136729596879845,0.2,0.931416787661193,1,1,1,0.3586049967771922,0
11,-1.2677146212516879,France,Male,-0.7553343052695697,0.6,0.4091649425034749,2,0,0,0.40088598461153035,0
12,-1.5884486303891503,Spain,Male,-1.4227760655875517,0.3,-1.2257863774930597,2,1,0,0.3819286241836095,0
13,-1.8057200559338829,France,Female,-0.4692878365618631,1.0,-1.2257863774930597,2,1,0,0.13125953528561976,0
14,-1.050443195706955,France,Female,-1.3274272426849827,0.5,-1.2257863774930597,2,0,0,0.954322187768932,0
15,-0.16066497680947875,Spain,Female,-0.3739390136592943,0.7,-1.2257863774930597,2,1,1,0.3297318393906618,0
16,-0.3572438856356654,Germany,Male,0.5795492153663941,0.3,1.0680495526351115,2,0,1,0.32160911367035555,0
17,0.02556767365743491,Germany,Male,1.8190839130997891,0.1,0.8993481464491145,1,1,0,0.025432878839929215,1
18,-1.050443195706955,Spain,Female,-1.4227760655875517,0.9,-1.2257863774930597,2,1,1,0.07198102418780994,0
19,-0.6572853780545819,Spain,Male,0.5795492153663941,0.6,-1.2257863774930597,1,0,0,0.7934419237037136,0
20,0.7808445338843626,France,Female,-1.4227760655875517,0.6,-1.2257863774930597,2,1,1,0.2735883776900694,0
21,0.8429220840400005,France,Male,0.19815392375611882,0.8,-1.2257863774930597,2,1,1,0.8544545504095641,0
22,-0.15031871845020578,Spain,Female,-0.6599854823670008,0.8,-1.2257863774930597,2,1,0,0.6927855610210774,0
23,-1.4539472717186015,Spain,Female,-0.08789254495158773,0.4,-1.2257863774930597,1,1,0,0.5945665311037204,1
24,0.1911078074058026,France,Male,0.674898038268963,0.3,-1.2257863774930597,2,0,1,0.042384897757735865,0
25,2.0223955369971205,France,Female,-0.08789254495158773,0.5,-1.2257863774930597,1,1,1,0.9381124897427704,0
26,-0.7607479616473117,France,Male,-1.3274272426849827,0.3,-1.2257863774930597,2,0,1,0.6225430028567728,0
27,1.091232284662552,Germany,Male,-0.2785901907567254,0.2,0.966863133431921,1,1,1,0.8502330472560129,0
28,-0.8228255118029496,France,Male,0.48420039246382535,0.9,-1.2257863774930597,2,0,0,0.19212719814742307,0
29,-0.7917867367251307,Germany,Female,0.3888515695612565,0.3,1.039523045896143,1,1,1,0.5009270885369552,0
30,-2.4782268492866266,France,Male,-0.9460319510747073,0.0,-0.2690611770400602,2,1,1,0.26738368514193106,0
31,-0.61590034461749,Spain,Female,0.007456277950981121,0.3,-1.2257863774930597,3,1,0,0.702356075005163,1
32,-1.2159833294553228,France,Male,-0.2785901907567254,0.7,0.14144515598643617,1,0,1,0.7836764911049005,0
33,-1.0090581622698633,Germany,Male,0.19815392375611882,0.9,0.5389110429020599,2,0,0,0.40947525488684167,0
34,-1.3504846881258716,Spain,Female,0.29350274665868764,0.6,-1.2257863774930597,2,1,1,0.17201127707696087,0
35,0.7394595004472706,Spain,Female,-0.9460319510747073,0.9,-1.2257863774930597,2,1,1,0.710175271738451,0
36,-1.8160663142931557,France,Female,0.5795492153663941,0.0,0.925970407336599,1,1,0,0.1390703312166312,1
37,-1.660872438904061,Spain,Male,-0.7553343052695697,0.3,1.1021987290806492,1,0,1,0.570330416554781,0
38,1.5878526859076552,Spain,Male,-0.564636659464432,0.7,0.0010050211510717556,1,0,1,0.49225636048242605,0
39,2.0637805704342123,France,Male,-0.2785901907567254,0.7,-1.2257863774930597,1,1,1,0.2040260844910689,0
40,-0.7090166698509468,Germany,Male,0.19815392375611882,0.6,-0.09834398190271132,2,0,1,0.8903973329452962,0
41,-1.8471050893709748,Spain,Male,0.10280510085354996,0.4,-1.2257863774930597,1,1,0,0.35074669630949756,0
42,-1.9195288978858855,France,Female,1.1516421527818073,0.8,0.7377939925976257,1,0,0,0.9065169223660858,1
43,-0.9780193871920443,France,Female,2.105130381807496,0.2,0.6560122264576956,1,1,1,0.4707562072177893,0
44,1.8982404366858445,France,Female,0.9609445069766696,0.2,0.8799832386283355,1,0,0,0.9718637129845901,1
